node_id,parent_id,concept.ko,concept.en,aliases,definition,logic,examples.name,examples.description,tips,prerequisites.ko,prerequisites.en
31,21,점4분쉼표,Dotted-Quarter-rest,,1.5박자 동안 소리를 멈춥니다.,4분쉼표(1박) + 0.5박(4분쉼표의 절반) 길이로 1.5박자 동안 쉽니다.,,,,박자,Beat
32,21,점8분쉼표,Dotted-Eighth-rest,,0.75박자 동안 소리를 멈춥니다.,8분쉼표(0.5박) + 0.25박(8분쉼표의 절반) 길이로 0.75박자 동안 쉽니다.,,,,박자,Beat
33,21,점16분쉼표,Dotted-Sixteenth-rest,,0.375박자 동안 소리를 멈춥니다.,16분쉼표(0.25박) + 0.125박(16분쉼표의 절반) 길이로 0.375박자 동안 쉽니다.,,,,박자,Beat
34,21,점32분쉼표,Dotted-Thirty-second-rest,,0.1875박자 동안 소리를 멈춥니다.,32분쉼표(0.125박) + 0.0625박(32분쉼표의 절반) 길이로 0.1875박자 동안 쉽니다.,,,,박자,Beat
35,1,임시표,Accidental,샾; 플랫; 내추럴,임시표는 음의 높낮이를 반음단위로 조절하는 기호입니다.,"임시표는 해당 마디안에서만 유효하며, 같은 음이 반복될 경우 모두 적용됩니다; 조표와는 달리 일시적인 변화만 적용됩니다.; 임시표를 하나 더 붙여서 온음단위로 움직이는것도 가능합니다. 이때는 더블플랫(♭♭), 더블샾(X)으로 이야기합니다.",♯; ♭; ♮,반음 올림; 반음 내림; 원래 음으로 복귀,조표와 헷갈리면 안됩니다.; 마디가 바뀌면 효력이 없습니다.,음계; 반음; 온음,Scale; Semitone; Whole Tone
36,1,음자리표,Clef,높은음자리표; 낮은음자리표; 가온음자리표,음자리표는 오선의 특정 선이 어떤 음높이를 가지는지를 정하는 기호입니다.,"오선의 기준점을 지정해 전체 음높이를 결정합니다; G음, F음 등 특정음을 기준으로 잡습니다.",G-clef; F-Clef; C-clef,높은음자리표; 낮은음자리표; 가온음자리표,높은음자리표와 낮은음자리표를 헷갈리지 않도록 주의하세요; 넓은 음역을 표현하기 위하여 한 악보 안에 두 개 이상 표기가 될 경우가 있습니다.,음이름,Note Name
37,1,박자표,Time Signature,,"박자표는 한 마디안에 몇 개의 박자가 들어가는지, 어떤 음표가 기준이 되는지를 나타내는 기호입니다.","위 숫자는 한 마디 안의 박자 수, 아래 숫자는 기준이 되는 음표의 종류(4는 4분음표, 8은 8분음표 등); 곡의 리듬 구조를 정의합니다.",4/4; 3/4; 6/8,4분음표를 기준박자로 하여 한마디 안에 4개; 4분음표를 기준박자로 하여 한마디 안에 3개; 8분음표를 기준박자로 하여 한마디 안에 6개,분모는 기준박자이며 분자는 기준박자에서 한마디 내에 몇개가 들어가있는지를 표시하므로 이를 기억하세요.,음표; 박자,Note; Beat
38,1,조표,Key Signature,키; 조성,곡의 음계와 중심음을 정의하기 위해 표시해주는 기호입니다.,"조성은, 임시표와 다르게 곡의 전체에 적용됩니다.; 중간에 변화할 수도 있는데, 변화한 마디를 기준으로 새로운 조성이 적용됩니다.",,,아무 조표도 없을때는 C Major Key 입니다.,,
39,38,조성(샾),Sharp key,샾키,샾(♯) 기호를 사용하는 체계입니다.,"샾은 파→도→솔→레→라→미→시 순서로 추가됩니다.; 샾키를 계산하는 방법은, 조표 붙는 순서에 온음위가 해당 조성입니다. 예를 들어 샾이 3개가 붙었을경우(파도솔) 솔의 온음인 라장조(A major key)가 됩니다.",G major key; D Major key,,여러가지 샾 키에 대해서 계산을 해보는 연습을 해보세요.,조표; 임시표,Key signature; Accidental
40,38,조성(플랫),Flat Key,플랫키,플랫(♭) 기호를 사용하는 체계입니다.,"플랫은 시→미→라→레→솔→도→파 순서로 추가됩니다.; 플랫키를 계산하는 방법은, 조표 붙는 순서의 이전음의 플랫을 붙여주면됩니다. 예를 들어 플랫이 4개가 붙었을경우(시미라레) 레의 조표 붙는순서의 이전인 라(A)에 플랫을 붙여주면 내림라장조(Ab major key)가 됩니다.; 단, 플랫이 하나붙었을경우(시)에서는 조표 붙는순서의 이전인 F에는 플랫을 붙여주지 않습니다.",Bb major key; Ab major key,,여러가지 플랫 키에 대해서 계산을 해보는 연습을 해보세요.; F Major key에 대해서는 유의해야합니다.,조표; 임시표,Key signature; Accidental
41,1,스케일,Scale,음계,스케일은 음악에서 일정한 규칙에 따라 차례대로 배열된 음들의 집합입니다.,"스케일은 음악의 기본 구조를 형성하기 위해 만들어졌습니다.; 스케일은 곡의 조성과 분위기를 결정하는 데에 중요한 역할을 합니다.; 여러 가지 유형의 스케일이 있으며, 주로 장음계와 단음계가 많이 사용됩니다.; 각각의 스케일은 상대적으로 독립된 구성으로 이루어져 있습니다.",C Major Scale; A Minor Scale,"도,레,미,파,솔,라,시,도로 이루어진 음계입니다.; 라,시,도,레,미,파,솔,라로 이루어진 음계입니다.",스케일을 외울때 계이름과 음의 순서를 반복해서 외우면 도움이 됩니다.,,
42,41,메이저 스케일,Major Scale,장음계; 메이저스케일,메이저 스케일은 밝고 경쾌한 분위기를 내는 대표적인 음계입니다.,"메이저 스케일은 ""온-온-반-온-온-온-반음""의 구조로 이루어집니다.; 서양음악에서 가장 기본적인 음계입니다.; 상대적으로 1-2-3-4-5-6-7-8음으로 3-4음과 7-8음이 반음인 형태입니다.",C Major Scale; G Major Scale,"아무것도 샾이나 플랫이 붙지 않는 형태로 도,레,미,파,솔,라,시,도로 구성됩니다.; 파에 샾이 추가된 솔,라,시,도,레,미,파#,솔로 구성됩니다.","모든 조성에서 상대적으로 계산하는 방법을 익힌다면, 메이저스케일을 활용하여 음악의 모든 이론들의 음정거리를 계산할 수 있습니다.; 1-2-3-4-5-6-7-8이 메이저스케일의 상대적인 음입니다.",스케일,Scale
43,41,마이너 스케일,Minor Scale,단음계; 마이너스케일,마이너 스케일은 주로 어둡고 감정적인 분위기를 내는 음계입니다.,"마이너 스케일은 자연단음계(내추럴 마이너 스케일), 화성단음계(하모닉 마이너 스케일), 가락단음계(멜로딕 마이너 스케일)가 있습니다.; 마이너 스케일은 6도, 7도의 변화에 따라 다양한 느낌을 줄 수 있습니다.",A Natural Minor Scale; C Melodic Minor Scale,"라,시,도,레,미,파,솔,라로 구성된 스케일입니다.; 도,레,미b,파,솔,라,시b,도로 구성된 스케일입니다.","마이너스케일의 유형별 소리(내추럴,하모닉,멜로딕)를 직접 연주해보며 음의 차이를 느껴보세요.",메이저 스케일,Major Scale
44,43,내추럴 마이너 스케일,Natural Minor Scale,자연단음계,내추럴 마이너 스케일은 단음계 중에서 기본이 되는 음계입니다.,"내추럴 마이너 스케일은 1-2-b3-4-5-b6-b7-8음으로 구성되어 있습니다.; 메이저스케일에서 단3도 아래로 내린 형태이고, 절대음은 메이저스케일과 동일합니다.",A Natural Minor Scale; E Natural Minor Scale,"라,시,도,레,미,파,솔,라로 구성된 스케일입니다.; 미,파#,솔,라,시,도,레,미로 구성된 스케일입니다.",,마이너 스케일,Minor Scale
45,43,하모닉 마이너 스케일,Harmonic Minor Scale,화성단음계,하모닉 마이너 스케일은 내추럴 마이너 스케일에서 7음을 반음 올린 음계입니다.,하모닉 마이너 스케일은 1-2-b3-4-5-b6-7-8음으로 구성되어 있습니다.,A Natural Minor Scale; E Natural Minor Scale,"라,시,도,레,미,파,솔#,라로 구성된 스케일입니다.; 미,파#,솔,라,시,도,레#,미로 구성된 스케일입니다.",,마이너 스케일,Minor Scale
46,43,멜로딕 마이너 스케일,Melodic Minor Scale,가락단음계; 선율단음계,멜로딕 마이너 스케일은 내추럴 마이너 스케일에서 6도와 7도를 반음 올린 음계입니다.,멜로딕 마이너 스케일은 1-2-b3-4-5-6-7-8음으로 구성되어 있습니다.,A Natural Minor Scale; E Natural Minor Scale,"라,시,도,레,미,파#,솔#,라로 구성된 스케일입니다.; 미,파#,솔,라,시,도#,레#,미로 구성된 스케일입니다.","클래식에서는 상행진행(멜로딕 마이너 스케일)과 하행(내추럴 마이너 스케일)을 다르게 보는데, 멜로디의 흐름을 자연스럽게 하기 위해 고안되었습니다.; 실용음악에서는 재즈 마이너 스케일(Jazz minor Scale)로 불러지는데, 이를 통한 재즈화성학 이론이 많이 나오기때문에 중요한 스케일 입니다.",마이너 스케일,Minor Scale
47,1,음정,Interval,음간격; 인터벌,"음정은 두 음 사이의 높낮이의 차이, 즉 거리입니다.","음정은 음악의 기본적인 요소 중 하나로, 멜로디와 화성의 구조를 결정합니다.; 음정은 한 음에서 다른 음까지의 거리를 나타내며, 반음과 온음을 기본 단위로 사용합니다.; 음정은 명칭과 성질에 따라 여러 종류로 세분화됩니다.",1도(완전1도); 8도(옥타브),같은 높이의 음 두개를 동시에 연주할 때 나는 음정입니다.; 예를들면 낮은 도에서 높은 도까지의 거리입니다.,"음정은 먼저 숫자(도수)를 세고, 그 다음 품질(완전,장 등)을 결정하면 계산이 편리합니다. 모든 것은 메이저스케일을 잘 외운다면 여러 음정에 대해서 계산하기 편리합니다.",메이저 스케일,Major Scale
48,47,반음,Semitone,Half Step; 반음계,반음은 서로 바로 이웃한 두 음 사이의 가장 작은 간격입니다.,"피아노 건반에서 두 음이 서로 붙어 있는 경우(예: 미와 파, 시와 도)가 반음입니다.; 서양 12음계에서 한 옥타브를 12개로 나누면 각 구간이 반음이 됩니다.",미-파(3-4),피아노에서 미와 파 사이에는 검은 건반이 없이 바로 붙어있으므로 반음입니다.,메이저스케일에서 3-4음과 7-8음이 반음입니다.,메이저 스케일,Major Scale
49,47,온음,Whole Tone,Whole Step; 온음계,온음은 반음 두 개를 합친 거리입니다.,피아노 건반에서 흰 건반 사이에 검은 건반이 하나 들어가있으면 온음입니다.,도-레(1-2),도와 레 사이에는 도#(또는 레b)이 하나 있으므로 온음입니다.,메이저스케일에서 3-4음과 7-8음을 제외한 나머지음들은 온음입니다.,메이저 스케일,Major Scale
50,47,완전음정,Perfect Interval,완전1도; 완전4도; 완전5도; 완전8도,"완전음정은 1도,4도,5도,8도에서 나타나는 음정입니다.","1도,4도,5도,8도에서만 '완전'이라는 품질이 붙습니다.",완전4도,도와 파 사이의 음정입니다.,메이저 스케일을 먼저 익힌 뒤 계산하면 편합니다.,메이저 스케일,Major Scale
51,47,장음정,Major Interval,장2도; 장3도; 장6도; 장7도,"장음정은 2도,3도,6도,7도에서 나타나는 음정입니다.","2도,3도,6도,7도에서만 '장'이라는 품질이 붙습니다.",장3도,도와 미 사이의 음정입니다.,메이저 스케일을 먼저 익힌 뒤 계산하면 편합니다.,메이저 스케일,Major Scale
52,47,단음정,Minor Interval,단2도; 단3도; 단6도; 단7도,"단음정은 2도,3도,6도,7도에서 나타나는 음정으로, 장음정보다 반음이 낮습니다.","장음정(2도,3도,6도,7도)에서 반음을 낮추면 단음정이 됩니다.",단3도,도와 미b 사이의 음정입니다.,장음정에서 플랫을 해주게 되면 단음정이 됩니다.,메이저 스케일,Major Scale
53,47,증음정,Augmented Interval,증4도; 증5도,"증음정은 장음정, 완전음정에서 반음을 올리면 나타나는 음정입니다.","증음정은, 독특하고 현대적인 분위기나 긴장감을 연출할 때 사용 됩니다.",증4도,도와 파# 사이의 음정입니다.,"완전음정에서 샾을 해주거나, 장음정에서 더블샾을 해줄 경우 나옵니다.",메이저 스케일,Major Scale
54,47,감음정,Diminished Interval,감5도; 감7도,"감음정은 단음정, 완전음정에서 반음을 내리면 나타나는 음정입니다.","감음정은, 불안정한 화성에 자주 쓰이므로, 곡의 진행상 특별한 감정을 표현할때 유용합니다.",감5도,도와 솔b 사이의 음정입니다.,"완전음정에서 플랫을 해주거나, 단음정에서 플랫을 해줄 경우 나옵니다.",메이저 스케일,Major Scale
55,48,5도권,Circle of Fifths,5도사이클; 서클 오브 피프스,5도권은 12개의 모든 조성을 5도씩 순환시켜 원형으로 배열한 도표입니다.,5도권은 각 조성이 다섯번째음(완전5도) 간격으로 배열된 구조입니다.; 완전5도 상행(C-G-D-A-E-B-F#(Gb)-C#(Db)-G#(Ab)-D#(Eb)-A#(Bb)-F; 완전4도 상행(C-F-Bb(A#)-Eb(D#)-Ab(G#)-Db(C#)-Gb(F#)-B-E-A-D-G),C-F-Bb; C-G-D,C Major key(조표없음)-F Major key(플랫1개)-Bb Major key(플랫2개); C Major key(조표없음)-G Major key(샾1개)-D Major key(샾2개),"모든 진행에 대해서 다 외운다면, 조표가 붙는 순서도 이해할 수 있습니다.",조표; 음정,Key Signature; Interval
56,1,이명동음,Enharmonic,딴이름 한소리; 동음이명,이명동음은 음이름은 다르지만 소리는 같은소리가 나는 두 개의 음을 말합니다.,"음악에서 한 음이 상황에따라 여러가지 이름으로 불릴 수 있는 현상입니다.; 예를 들어 도#(C#)와 레b(Db)은 피아노나 악기에서 동일한 소리로 들리지만, 상황에 따라 다른 이름을 사용합니다.; 이는 우리가 사용하는 12음 평균율 체계(12-Equal temperament)에서만 사용할 수 있는 내용입니다.",C#-Db; B#;C,C#과 Db은 이름은 다르지만 건반에서 같은 위치를 하고 있기에 동일한 소리를 냅니다.; B#과 C는 이름은 다르지만 건반에서 같은 위치를 하고 있기에 동일한 소리를 냅니다.,"이명동음은, 곡의 조성이나 진행, 코드에서 왜 해당음이 특정이름으로 불리는지 논리를 이해하는 것이 중요합니다.",스케일; 음정; 조표,Scale; Interval; Key Signature
57,1,반복,Repetition,Repeat; 반복기호; 반복구호,반복은 악곡에서 같은 부분을 한 번 이상 다시 연주하는 것을 의미합니다.,"반복은 음악의 형태를 구성하거나, 곡의 길이를 늘리기 위해 사용됩니다.; 악보에서는 여러가지 반복기호로 반복 부분과 순서를 명확하게 지정합니다.",,,,,
58,57,도돌이표,Repeat Sign,되돌이표; 도돌이,도돌이표는 해당 구간을 다시 연주해야 함을 나타내는 기호입니다.,"도돌이표는 '||:'(시작)과 ':||'(종료)로 표시됩니다.; 시작과 종료가 동시에 있을 경우, 한번만 반복합니다.",,,"도돌이표내에 필요한 텍스트를 넣어 악보에 표기할 수 있습니다. 원칙은 1회만 반복이지만, 'x3(3번반복)','x4(4번반복)' 등 텍스트로 자유롭게 표기할 수 있습니다.",반복,Repetition
59,57,다카포,Da Capo,D.C,다카포는 곡의 처음으로 돌아가 다시 연주하라는 지시입니다.,"주로 'D.C'로 표시하거나, 'D.C al Fine', 'D.C al Coda' 등과 같이 사용합니다.",,,달세뇨와 혼동하여 사용 하지 않도록 주의하세요.,반복,Repetition
60,57,달세뇨,Dal Segno,D.S,달세뇨는 지정된 세뇨표시부터 다시 연주하라는 지시입니다.,"주로 'D.S'로 표시하거나, 'D.S al Fine', 'D.S al Coda' 등과 같이 사용합니다.",,,다카포와 혼동하여 사용 하지 않도록 주의하세요.; 일반적으로 대중가요에서 반복을 할 시 가장 많이 나오는 형태입니다.,반복,Repetition
61,57,세뇨,Segno,세뇨표,세뇨는 달세뇨 반복에서 돌아갈 지점을 나타내는 특수한 악보기호입니다.,세뇨 표시는 악보 위의 특정 위치를 표시해 반복연주의 기준점이 됩니다.,,,"달세뇨가 나왔을때는 반드시 세뇨표가 있어야하므로, 악보상의 세뇨를 찾아서 체크해두세요.",반복,Repetition
62,57,코다,Coda,코다표; To Coda,코다는 악곡의 특별한 끝맺은 부분을 연주하라는 지시 및 해당 구간을 가리키는 기호입니다.,"보통 'To coda', 'al Coda'등의 지시와 함께 코다표시로 구체적인 구간을 알려줍니다.",,,To coda가 등장 한 후 특정위치(코다)로 이동하는 역할이라고 이해하면 됩니다.; 예를들어 'D.S al Coda'를 해석하면 세뇨로 돌아간 후 To coda를 만났을때 코다 기호로 점프해서 이동한다라고 해석하면 됩니다.; 가끔 To coda가 없고 단순히 코다 기호만 2개 있는 경우가 있는데 그럴 경우도 첫번째 만난 코다기호를 To coda로 해석하면 됩니다.,반복,Repetition
63,57,피네,Fine,Fine,피네는 반복 연주에서 곡의 종료 시점을 표시하는 기호입니다.,"주로 'D.C al Fine', 'D.S al Fine'과 함께 사용되며, 해당 지점에서 곡을 마무리 짓는 역할을 합니다.",,,피네는 곡의 최종 마치는 구간이므로 그 이후에는 반복하지 않아도 됩니다.,반복,Repetition
64,1,마디,Measure,Bar,마디는 음악에서 박자표에 따라 구분된 리듬의 한 단위를 의미합니다.,마디는 악보에서 박자를 맞춰 음표와 쉼표를 효과적으로 정렬하도록 도와줍니다.,4/4박자에서 한 마디,"4/4박자 악보의 한 마디에는 총 4박 즉, 4분음표 4개가 들어갑니다.",코드진행이나 편곡을 할 때에는 마디 수를 기준으로 구조를 계획하면 훨씬 이해가 쉽습니다.; 마디마다 코드를 바꾸거나 리듬 패턴을 반복하는 등 실제 음악 제작에서도 마디의 개념이 중심이 됩니다.,박자표,Time Signature
65,1,송폼,Song Form,곡 형식; 곡 구성; 곡 구조,"송폼은 곡의 구성 방식과 일련의 반복,변형 또는 추가되는 각 섹션들의 배열을 말합니다.","송폼은 음악의 흐름을 직관적으로 이해하고, 효율적인 편곡 및 연주를 위해 필수적인 개념입니다.; 장르마다 표현하는 방식이 다를 수 있습니다.; 일반 대중음악 기준으로 ""Intro,Verse,Pre-Chorus,Chorus,Interlude,Bridge-Outro"" 등으로 사용합니다.; 재즈에서는 AABA, AABC 등의 형식으로 사용됩니다.",AABA형식,"A-A-B-A구조로 32마디 재즈 스탠다드나 올드팝에서 자주 사용 됩니다. A는 주된 테마, B는 대비되는부분(브릿지)입니다.","송폼과 송폼사이의 구분을 명확히 할 줄 알면 곡의 다이나믹, 악기 구성 등 구조적인 작,편곡이 가능해집니다.; 일반적으로 4마디,8마디,12마디 배열로 묶은 송폼이 많이 나옵니다.",마디,Measure
66,1,잇단음표,Tuplet,연음표; 셋잇단음표; 넷잇단음표; 트리플렛; Triplet,잇단음표는 동일한 시간 안에 특정 음표의 개수를 원래보다 더 촘촘하게 나누어 연주하는 표기법입니다.,"잇단음표는 기본박자를 일정하게 분할합니다. 예를 들어 한 박 안에 원래 두개의 8분음표를 넣는 자리에 세 개를 연주하도록 만들면 셋잇단음표가 됩니다.; 셋잇단음표는 가장 일반적이며, triplet이라고도 합니다. 이밖에도 이잇단음표,넷잇단음표 등 다양한 형태가 존재합니다.; 잇단음표 표기는 음표 묶음 위나 아래에 숫자(2,3,4 등)로 나타냅니다.; 잇단음표는 리듬에 변화를 주거나, 곡의 프레이즈를 더욱 다채롭게 만드는데 사용됩니다.; 쉼표 또한 음표와 같이 동일하게 사용할 수 있습니다.",셋잇단음표,기본적으로 두 개가 들어가는 자리에 세 개가 들어가는 리듬입니다.,"잇단음표는 기본 박자와 다르게 들릴 수 있으므로, 실제로 박자와 함께 손뼉 등을 쳐보면서 익히면 효과적입니다.; 실전 리듬 편곡이나 즉흥연주에서 잇단음표는 리듬을 유연하고 다양하게 만들 수 있는 좋은 도구입니다.",음표; 리듬,Note; Rhythm
